id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
289931,3,5.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",1.0,a goofy movie the disney movie,coca cola,Friends,A little (mild),Pizza
620148,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,dead silence,sprite,"Friends,Strangers",A moderate amount (medium),Pizza
387155,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,la la land,water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza
516975,2,21.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,harry potter  the philosopher's stone,coca cola,Friends,none,Pizza
630825,3,6.0,"Week day dinner,At a party",8.0,transformer,soup,Parents,none,Pizza
614043,5,10.0,"Week day dinner,Weekend dinner,At a party,Late night snack",15.0,ninja turtles,coca cola,"Siblings,Friends",none,Pizza
521125,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,high school musical 3,beer,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
627780,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,despicable me,coca cola,"Friends,Teachers",none,Pizza
492744,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,none,pop,"Parents,Friends",A little (mild),Pizza
618747,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,toy story,pop,Friends,none,Pizza
607815,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",30.0,the godfather,coca cola,"Friends,Teachers",A little (mild),Pizza
601609,4,10.0,"Weekend dinner,At a party",6.0,spiderman,coca cola,Friends,none,Pizza
602657,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,pizza,coca cola,"Friends,Teachers",none,Pizza
616449,4,3.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",5.0,none,sparkling water,"Parents,Friends",A little (mild),Pizza
501893,4,5.0,"Weekend lunch,Weekend dinner,At a party",25.0,fast  furious,coca cola,"Siblings,Friends",none,Pizza
507448,3,5.0,"Weekend dinner,At a party,Late night snack",20.0,none,coca cola,Friends,A little (mild),Pizza
606556,1,3.0,At a party,8.0,the garfield movie,coca cola,Teachers,A little (mild),Pizza
724326,3,11.0,"Week day lunch,Weekend lunch,At a party",3.0,none,coca cola,Friends,none,Pizza
616945,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,ratatouille,coca cola,Teachers,A moderate amount (medium),Pizza
630962,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10.0,five nights at freddies,coca cola,"Friends,Teachers",none,Pizza
715814,2,6.0,"Week day lunch,Week day dinner,At a party",11.49,none,none,"Parents,Friends,Teachers",A little (mild),Pizza
502799,2,8.0,"Weekend dinner,At a party",10.0,back to the future,ice tea,"Parents,Siblings,Friends",none,Pizza
605278,2,4.0,"Weekend dinner,At a party,Late night snack",4.0,godfather,coca cola,"Friends,Teachers,Strangers",A little (mild),Pizza
388888,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,mystic pizza,coca cola,Friends,A little (mild),Pizza
519548,3,5.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,spider man 2,coca cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
405521,4,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,futurama,coca cola,Friends,A moderate amount (medium),Pizza
607410,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",13.0,iron man i,orange fanta,"Siblings,Teachers",none,Pizza
715795,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",13.0,life of pi,coca cola,"Parents,Friends,Teachers",none,Pizza
625326,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",3.0,avengers,pop,"Siblings,Friends,Teachers",A little (mild),Pizza
627220,3,5.0,"Week day lunch,Weekend dinner,At a party,Late night snack",6.5,despicable me,mountain dew,Friends,A little (mild),Pizza
634964,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,spiderman,beer,"Parents,Friends",none,Pizza
722500,3,10.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,home alone,coca cola,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
602824,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,any american movie,pop,"Parents,Siblings,Friends",none,Pizza
618355,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,king kong,coca cola,"Friends,Teachers,Strangers",none,Pizza
611097,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,home alone,coca cola,"Siblings,Friends",A little (mild),Pizza
634328,2,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,none,pop,"Parents,Siblings,Friends",none,Pizza
607160,2,10.0,At a party,15.0,cloudy with a chance of meatballs,coca cola,Teachers,A little (mild),Pizza
728522,3,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",12.0,marvel movies,pepsi,"Siblings,Friends,Teachers",A lot (hot),Pizza
718570,3,5.0,"Week day lunch,Week day dinner,At a party",15.0,none,coca cola,"Friends,Strangers",none,Pizza
714598,4,5.0,"Week day dinner,At a party,Late night snack",4.5,the garfield movie,coca cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
601950,3,4.0,"Week day lunch,At a party,Late night snack",3.0,garfield,coca cola,Friends,none,Pizza
612478,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,grown ups,coca cola,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
501416,4,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,none,none,"Teachers,Strangers",A little (mild),Pizza
629710,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15.0,deadpool,coca cola,"Parents,Siblings,Friends",A little (mild),Pizza
502610,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",35.0,cloudy with a chance of meatball,coca cola,"Parents,Siblings,Friends",none,Pizza
603476,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,whiplash,coca cola,"Parents,Siblings,Friends",none,Pizza
600957,2,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,home alone,water,Siblings,none,Pizza
713423,5,15.0,"Week day dinner,Weekend dinner,At a party",15.0,inside out,coca cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
722431,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,At a party",20.0,none,juice,Friends,none,Pizza
633234,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,avengers,coca cola,"Siblings,Friends,Teachers",none,Pizza
148179,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7.0,none,coca cola,Friends,A little (mild),Pizza
715845,2,9.0,"Weekend dinner,At a party,Late night snack",20.0,cloudy with a chance of meatballs,coca cola,Friends,none,Pizza
632153,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,ratatouille,sparkling water,Friends,none,Pizza
606552,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",1.0,superbad,coca cola,"Parents,Siblings,Friends",A little (mild),Pizza
738409,3,4.0,At a party,3.0,stranger things,pepsi,"Teachers,Strangers",none,Pizza
612096,4,6.0,"Weekend dinner,At a party",4.99,ratatouille,sprite,"Parents,Friends,Teachers",A lot (hot),Pizza
743537,3,5.0,"Week day lunch,Week day dinner,At a party,Late night snack",15.0,pizza 2012,coca cola,"Friends,Strangers",none,Pizza
632896,3,10.0,"Weekend lunch,At a party,Late night snack",7.0,home alone,coca cola,"Siblings,Friends,Strangers",A little (mild),Pizza
605207,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",12.0,none,coca cola,Friends,none,Pizza
617542,4,3.5,"Week day dinner,Weekend dinner,At a party,Late night snack",22.5,ninja turtles,coca cola,Friends,A little (mild),Pizza
719554,3,3.0,"Week day lunch,Late night snack",5.0,none,juice,"Friends,Strangers",none,Pizza
627427,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",5.0,air bud,pop,"Friends,Strangers",A little (mild),Pizza
411315,4,7.0,"Week day lunch,At a party,Late night snack",6.0,deadpool,coca cola,"Friends,Strangers",A little (mild),Pizza
631507,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,a quiet place day one 2024,pop,Friends,I will have some of this food item with my hot sauce,Pizza
627798,3,8.0,"Week day lunch,Weekend lunch,At a party,Late night snack",6.0,finding nemo,coca cola,Friends,A little (mild),Pizza
712093,4,10.0,"Week day lunch,Weekend lunch,At a party,Late night snack",15.0,avengers endgame,coca cola,"Teachers,Strangers",A little (mild),Pizza
627488,1,10.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",5.0,ratatouille,pop,"Friends,Teachers",A little (mild),Pizza
626493,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,my cousin vinny,none,"Parents,Siblings,Friends,Teachers",none,Pizza
601363,2,7.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,garfield,gingerale,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
712898,4,8.0,"Weekend dinner,At a party,Late night snack",5.0,garfield,coca cola,Parents,none,Pizza
603398,3,10.0,"Weekend dinner,At a party,Late night snack",22.5,eat pray love,coca cola,Friends,A moderate amount (medium),Pizza
631012,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,ratatouille,coca cola,"Parents,Siblings,Friends",none,Pizza
601848,3,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack",7.0,ratatouille,coca cola,"Parents,Siblings,Friends,Teachers",none,Pizza
612131,2,5.0,"Week day dinner,Weekend dinner,At a party,Late night snack",2.0,home alone,coca cola,"Parents,Siblings,Teachers",A little (mild),Pizza
408630,3,5.0,"Week day lunch,Weekend lunch,At a party,Late night snack",5.0,five nights at freddy's,pop,"Siblings,Friends,Teachers",A little (mild),Pizza
632091,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,none,pop,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
601122,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,home alone,coca cola,"Parents,Siblings,Friends,Strangers",none,Pizza
602871,2,5.0,"Week day lunch,At a party",10.0,spiderman 2,coca cola,Friends,A little (mild),Pizza
520828,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,none,coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
514199,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,none,tea,Friends,none,Pizza
389697,4,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",10.0,comedy,coca cola,"Friends,Teachers",A little (mild),Pizza
714430,3,10.0,"Week day lunch,Weekend lunch",10.0,iron man,juice,Friends,A little (mild),Pizza
612567,4,6.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,star wars,coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
744468,3,3.0,"Week day lunch,At a party",3.0,spiderman,coca cola,Friends,none,Pizza
502722,3,6.0,"Weekend lunch,At a party",3.0,none,coca cola,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
519681,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,the dark knight,coca cola,Friends,none,Pizza
631125,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,home alone 2 lost in new york,coca cola,"Parents,Siblings",none,Pizza
606119,2,6.5,"Week day lunch,Weekend lunch,At a party,Late night snack",5.0,pulp fiction,coca cola,Friends,none,Pizza
627252,3,8.0,"Week day dinner,Weekend dinner,At a party",6.0,ninja turtles,water,"Siblings,Friends",none,Pizza
616568,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,fast and furious,pop,"Parents,Siblings,Friends",A little (mild),Pizza
603838,2,5.0,"Weekend lunch,Weekend dinner",10.0,none,pop,Friends,A moderate amount (medium),Pizza
719735,4,1.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,spiderman 2,coca cola,Friends,A little (mild),Pizza
608062,2,10.0,"Weekend dinner,At a party",2.5,spider man,coca cola,"Friends,Teachers",none,Pizza
608704,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,home alone,coca cola,"Parents,Siblings,Friends,Teachers",none,Pizza
520383,2,3.0,"Week day lunch,Weekend dinner,At a party",3.5,i don't think of a movie when thinking of this food item,coca cola,"Friends,Teachers",A little (mild),Pizza
603793,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,home alone,pop,"Friends,Strangers",A moderate amount (medium),Pizza
603933,3,4.5,At a party,3.0,the truman show,sprite,Friends,none,Pizza
605519,3,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",5.0,i think of home alone,dr pepper,"Friends,Teachers",A moderate amount (medium),Pizza
524803,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,breaking bad,pop,"Friends,Teachers",none,Pizza
629712,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",17.0,interstellar,coca cola,Friends,A little (mild),Pizza
627505,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,rush hour,pepsi,"Parents,Siblings",none,Pizza
526131,3,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack",1.0,i think about movies like holes or shrek since it reminds me of the movies teachers would put on for us during school events,coca cola,"Friends,Teachers",none,Pizza
607065,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,scooby doo,coca cola,"Siblings,Friends",A little (mild),Pizza
500077,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,back to the future 2,coca cola,Teachers,none,Pizza
633350,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,ratatouille,coca cola,"Friends,Teachers,Strangers",A little (mild),Pizza
601945,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",22.0,princess diaries the apology scene,coca cola,"Parents,Friends,Teachers",A little (mild),Pizza
629878,3,3.0,"Weekend lunch,Weekend dinner,At a party",3.5,walle,water,Friends,A little (mild),Pizza
712766,4,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.5,home alone,pop,"Siblings,Friends,Teachers",none,Pizza
603664,2,8.0,"Week day lunch,At a party",16.0,ratatouille,coca cola,Strangers,none,Pizza
840827,3,6.0,Week day dinner,25.0,avengers,coca cola,Friends,none,Pizza
604897,3,15.0,"Weekend lunch,At a party",25.0,none,pop,"Friends,Teachers,Strangers",none,Pizza
525422,2,3.0,"Week day lunch,Weekend lunch,At a party,Late night snack",3.5,spiderman,pop,Friends,none,Pizza
602560,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",25.0,i think about a nice chill movie with pizza maybe something like hangover,coca cola,Friends,A moderate amount (medium),Pizza
738379,3,8.5,"Weekend lunch,At a party",15.0,none,coca cola,"Parents,Siblings,Friends",A little (mild),Pizza
622023,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,ninja turtles,coca cola,Friends,none,Pizza
604770,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,spiderman,coca cola,Friends,A little (mild),Pizza
608318,2,5.5,"Week day dinner,Weekend dinner,At a party,Late night snack",5.0,ratatouille,wine,Friends,none,Pizza
626757,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,spiderman,pop,"Friends,Strangers",A lot (hot),Pizza
745297,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,none,coca cola,"Parents,Friends,Teachers",none,Pizza
627599,4,6.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,deadpool,coca cola,"Parents,Siblings,Friends,Teachers",none,Pizza
520037,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,home alone,coca cola,"Friends,Teachers,Strangers",none,Pizza
632189,2,4.0,"Week day lunch,Weekend lunch,At a party,Late night snack",3.0,spider man,coca cola,Friends,none,Pizza
627636,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.5,spy kids 3d,pepsi,Friends,none,Pizza
295428,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,squid game,pop,"Siblings,Friends,Teachers,Strangers",none,Pizza
228777,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,running man,coca cola,Teachers,none,Pizza
609278,3,6.0,"Week day lunch,Week day dinner,At a party,Late night snack",5.0,ratatouille,pop,"Parents,Siblings,Friends,Teachers",none,Pizza
614089,2,4.0,"Week day dinner,Weekend dinner,At a party,Late night snack",20.0,the godfather,coca cola,Siblings,none,Pizza
607517,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",14.0,recep ivedik 2,coca cola,"Siblings,Friends",A little (mild),Pizza
714607,3,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack",5.0,none,coca cola,"Siblings,Friends",none,Pizza
716650,4,5.0,"Week day dinner,At a party,Late night snack",0.25,i usually associate this item with the winter because school parties would frequently order this food item hence i would say the polar express elf and home alone,coca cola,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
497695,2,4.0,"Weekend dinner,At a party,Late night snack",5.0,moneyball,pop,Friends,A little (mild),Pizza
496858,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",1.0,home alone when the delivery guy delivers a cheese pizza little nero's pizza through the back door for kevin when he gets stuck home alone,none,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
608688,2,3.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,none,pop,"Parents,Siblings,Friends,Teachers",none,Pizza
604386,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,ratatouille,pop,"Parents,Friends",none,Pizza
628559,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,avengers 1,coca cola,Friends,none,Pizza
715152,3,7.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,hangover or any teen party movies which features a lot of sweet stuff,none,Friends,none,Pizza
604110,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,home alone,coca cola,"Parents,Friends",none,Pizza
629010,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,coraline,tea,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza
605254,2,5.0,"Week day dinner,At a party,Late night snack",4.0,none,coca cola,Friends,A moderate amount (medium),Pizza
628990,3,5.0,"Week day lunch,Week day dinner,At a party",6.0,life if pi,pop,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
625295,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,home alone,pop,Friends,none,Pizza
603415,3,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack",4.5,home alone,pop,Friends,A little (mild),Pizza
635533,2,6.0,"Week day lunch,Late night snack",15.0,james bond 007,coca cola,Friends,A little (mild),Pizza
630389,1,3.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,sam raimi's spider man,coca cola,Friends,A lot (hot),Pizza
714901,4,7.0,"Week day lunch,Weekend lunch,At a party",5.0,cloudy with a chance of meatballs,pepsi,Friends,A moderate amount (medium),Pizza
629792,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,the goofy movie,pop,"Parents,Siblings,Friends",none,Pizza
629025,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,none,pop,"Friends,Strangers",none,Pizza
524441,3,6.0,"Week day lunch,Weekend lunch,At a party",10.0,none,gingerale,"Siblings,Friends",none,Pizza
389109,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",18.0,cloudy with a chance of meatballs,none,Friends,none,Pizza
631216,2,5.0,"Week day lunch,At a party",6.0,a quiet place 2,coca cola,Friends,A moderate amount (medium),Pizza
738875,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,home alone,milk,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
634669,1,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",2.29,carryon,sprite,"Parents,Siblings,Friends,Teachers",none,Pizza
409940,3,6.0,"Week day dinner,At a party",8.0,spiderman,coca cola,"Parents,Friends",A moderate amount (medium),Pizza
399605,2,5.0,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,none,coca cola,"Parents,Friends",none,Pizza
721831,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,home alone,coca cola,"Parents,Siblings,Friends",none,Pizza
835223,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,set it up,coca cola,"Friends,Strangers",A moderate amount (medium),Pizza
712938,3,5.0,"Week day dinner,Weekend dinner",15.0,green book,coca cola,Friends,none,Pizza
395712,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6.0,none,coca cola,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
603388,2,7.0,"Week day lunch,At a party,Late night snack",12.0,garfield,coca cola,Friends,A little (mild),Pizza
617774,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,At a party",22.99,cars,ice tea,"Parents,Teachers",none,Pizza
289440,3,5.0,"Week day lunch,At a party,Late night snack",4.0,none,coca cola,"Friends,Strangers",A moderate amount (medium),Pizza
714503,2,3.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15.0,relaxing comedy,coca cola,Friends,I will have some of this food item with my hot sauce,Pizza
714893,2,5.0,"Week day lunch,Weekend lunch,At a party",5.0,home alone 2,coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
601094,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.5,none,pop,"Siblings,Friends",none,Pizza
618150,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",25.0,home alone,coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
607944,2,5.0,"Week day dinner,Weekend lunch,At a party,Late night snack",5.0,spiderman,milk,Friends,none,Pizza
629844,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,ratatouille,juice,"Parents,Siblings,Friends,Teachers",none,Pizza
626482,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,the godfather,pop,Friends,none,Pizza
609257,2,5.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",6.0,high school musical,beer,"Siblings,Friends,Teachers",none,Pizza
717921,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,zootopia,none,"Friends,Teachers",A little (mild),Pizza
181851,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,none,pop,Friends,A lot (hot),Pizza
