Model_Type,Hidden_Layers,Activation,Solver,Alpha,Learning_Rate_Init,Learning_Rate,Bagging_Estimators,Bagging_Samples,Train_Score,Valid_Score
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9598470363288719,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.01,adaptive,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9206500956022945,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.01,0.01,adaptive,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9521988527724665,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.01,adaptive,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9445506692160612,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.01,0.01,adaptive,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9340344168260039,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.01,adaptive,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9541108986615678,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.01,0.01,adaptive,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9569789674952199,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.01,0.01,adaptive,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9263862332695985,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.01,0.01,adaptive,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9512428298279159,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.01,0.01,adaptive,N/A,N/A,0.9617590822179732,0.8282442748091603
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9598470363288719,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.1,constant,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9282982791586998,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.01,0.1,constant,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9464627151051626,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.01,0.1,constant,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9579349904397706,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.1,constant,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9378585086042065,0.8931297709923665
Base_MLP,"(50,)",relu,adam,0.01,0.1,constant,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9541108986615678,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.01,0.1,constant,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9627151051625239,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.01,0.1,constant,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9340344168260039,0.8931297709923665
Base_MLP,"(50,)",relu,adam,0.01,0.1,constant,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9560229445506692,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.01,0.1,constant,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9665391969407265,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.01,0.1,adaptive,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9282982791586998,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.01,0.1,adaptive,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9464627151051626,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.01,0.1,adaptive,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9579349904397706,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.01,0.1,adaptive,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9378585086042065,0.8931297709923665
Base_MLP,"(50,)",relu,adam,0.01,0.1,adaptive,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9541108986615678,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.01,0.1,adaptive,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9627151051625239,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.01,0.1,adaptive,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9340344168260039,0.8931297709923665
Base_MLP,"(50,)",relu,adam,0.01,0.1,adaptive,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9560229445506692,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.01,0.1,adaptive,N/A,N/A,0.9703632887189293,0.8358778625954199
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9665391969407265,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.1,0.001,constant,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.8460803059273423,0.8206106870229007
Base_MLP,"(50,)",relu,adam,0.1,0.001,constant,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9082217973231358,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.001,constant,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9110898661567878,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.1,0.001,constant,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.861376673040153,0.8396946564885496
Base_MLP,"(50,)",relu,adam,0.1,0.001,constant,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9034416826003824,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.1,0.001,constant,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9091778202676865,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.1,0.001,constant,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.8747609942638623,0.8473282442748091
Base_MLP,"(50,)",relu,adam,0.1,0.001,constant,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9072657743785851,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.1,0.001,constant,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9158699808795411,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.001,adaptive,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.8460803059273423,0.8206106870229007
Base_MLP,"(50,)",relu,adam,0.1,0.001,adaptive,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9082217973231358,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.001,adaptive,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9110898661567878,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.1,0.001,adaptive,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.861376673040153,0.8396946564885496
Base_MLP,"(50,)",relu,adam,0.1,0.001,adaptive,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9034416826003824,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.1,0.001,adaptive,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9091778202676865,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.1,0.001,adaptive,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.8747609942638623,0.8473282442748091
Base_MLP,"(50,)",relu,adam,0.1,0.001,adaptive,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9072657743785851,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.1,0.001,adaptive,N/A,N/A,0.9139579349904398,0.8587786259541985
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9158699808795411,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.01,constant,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9206500956022945,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.01,constant,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9397705544933078,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.1,0.01,constant,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9397705544933078,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.1,0.01,constant,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9311663479923518,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.1,0.01,constant,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9426386233269598,0.8854961832061069
Base_MLP,"(50,)",relu,adam,0.1,0.01,constant,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9502868068833652,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.01,constant,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9244741873804971,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.1,0.01,constant,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9369024856596558,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.1,0.01,constant,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9541108986615678,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.1,0.01,adaptive,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9206500956022945,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.01,adaptive,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9397705544933078,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.1,0.01,adaptive,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9397705544933078,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.1,0.01,adaptive,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9311663479923518,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.1,0.01,adaptive,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9426386233269598,0.8854961832061069
Base_MLP,"(50,)",relu,adam,0.1,0.01,adaptive,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9502868068833652,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.01,adaptive,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9244741873804971,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.1,0.01,adaptive,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9369024856596558,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.1,0.01,adaptive,N/A,N/A,0.9608030592734226,0.851145038167939
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9541108986615678,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.1,0.1,constant,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9206500956022945,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.1,0.1,constant,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9206500956022945,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.1,0.1,constant,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9445506692160612,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.1,0.1,constant,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9187380497131931,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.1,constant,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9340344168260039,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.1,0.1,constant,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9464627151051626,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.1,0.1,constant,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9216061185468452,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.1,0.1,constant,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9330783938814532,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.1,0.1,constant,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9541108986615678,0.8816793893129771
Base_MLP,"(50,)",relu,adam,0.1,0.1,adaptive,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.9206500956022945,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.1,0.1,adaptive,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9206500956022945,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.1,0.1,adaptive,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9445506692160612,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.1,0.1,adaptive,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.9187380497131931,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.1,0.1,adaptive,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9340344168260039,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.1,0.1,adaptive,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9464627151051626,0.8778625954198473
Base_MLP,"(50,)",relu,adam,0.1,0.1,adaptive,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.9216061185468452,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.1,0.1,adaptive,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9330783938814532,0.8740458015267175
Base_MLP,"(50,)",relu,adam,0.1,0.1,adaptive,N/A,N/A,0.9464627151051626,0.8549618320610687
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.9541108986615678,0.8816793893129771
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,constant,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.6759082217973231,0.6641221374045801
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,constant,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.6711281070745698,0.6526717557251909
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,constant,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.7332695984703633,0.7175572519083969
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,constant,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.7045889101338432,0.683206106870229
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,constant,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.6959847036328872,0.6793893129770993
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,constant,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.7380497131931166,0.7213740458015268
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,constant,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.6912045889101338,0.6603053435114504
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,constant,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.7045889101338432,0.6641221374045801
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,constant,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.7409177820267686,0.7137404580152672
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,adaptive,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.6940726577437859,0.6755725190839694
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,adaptive,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.6845124282982792,0.6679389312977099
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,adaptive,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.7466539196940727,0.7290076335877863
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,adaptive,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.7103250478011472,0.683206106870229
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,adaptive,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.7151051625239006,0.6908396946564885
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,adaptive,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.7504780114722753,0.7442748091603053
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,adaptive,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.7017208413001912,0.6717557251908397
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,adaptive,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.719885277246654,0.6717557251908397
Base_MLP,"(50,)",relu,sgd,0.0001,0.001,adaptive,N/A,N/A,0.7055449330783938,0.6717557251908397
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.7495219885277247,0.7366412213740458
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,constant,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.8183556405353728,0.7824427480916031
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,constant,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.8059273422562141,0.7748091603053435
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,constant,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.8279158699808795,0.8129770992366412
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,constant,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.8193116634799236,0.8015267175572519
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,constant,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.8240917782026769,0.816793893129771
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,constant,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.8336520076481836,0.8244274809160306
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,constant,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.8154875717017208,0.8053435114503816
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,constant,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.8279158699808795,0.8129770992366412
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,constant,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.8365200764818356,0.8320610687022901
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,adaptive,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.8279158699808795,0.8015267175572519
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,adaptive,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.8173996175908221,0.7900763358778626
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,adaptive,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.8393881453154876,0.8244274809160306
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,adaptive,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.8288718929254302,0.8129770992366412
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,adaptive,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.8326959847036329,0.8244274809160306
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,adaptive,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.8413001912045889,0.8435114503816794
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,adaptive,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.8250478011472275,0.8091603053435115
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,adaptive,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.8365200764818356,0.8282442748091603
Base_MLP,"(50,)",relu,sgd,0.0001,0.01,adaptive,N/A,N/A,0.8212237093690249,0.7900763358778626
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,1.0,0.8422562141491395,0.8396946564885496
Base_MLP,"(50,)",relu,sgd,0.0001,0.1,constant,N/A,N/A,0.6673040152963671,0.6145038167938931
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.739961759082218,0.6984732824427481
Base_MLP,"(50,)",relu,sgd,0.0001,0.1,constant,N/A,N/A,0.6673040152963671,0.6145038167938931
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.7036328871892925,0.6908396946564885
Base_MLP,"(50,)",relu,sgd,0.0001,0.1,constant,N/A,N/A,0.6673040152963671,0.6145038167938931
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.748565965583174,0.6908396946564885
Base_MLP,"(50,)",relu,sgd,0.0001,0.1,constant,N/A,N/A,0.6673040152963671,0.6145038167938931
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.7284894837476099,0.6946564885496184
